id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,speechiness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.02,0.05
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.85,0.04
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.10,0.07
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.90,0.03
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.01,0.06
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.95,0.02
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.30,0.05
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.60,0.04
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.88,0.03
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.04,0.05
11,Golden Hour,DJ Sunken,hip-hop,energetic,0.78,96,0.72,0.85,0.12,0.02,0.22
12,Velvet Nights,Sable Rose,r&b,romantic,0.55,88,0.78,0.70,0.30,0.05,0.08
13,Morning Prelude,Clara Voss,classical,peaceful,0.20,68,0.75,0.25,0.95,0.98,0.02
14,Dirt Road Dreaming,The Sunflowers,country,nostalgic,0.58,102,0.80,0.65,0.82,0.08,0.06
15,Bass Drop City,Voltage,edm,intense,0.96,140,0.62,0.92,0.04,0.78,0.04
16,Island Morning,Coco Wave,reggae,chill,0.45,82,0.88,0.71,0.68,0.15,0.07
17,Iron Curtain,Shred Mechanics,metal,angry,0.95,168,0.28,0.58,0.06,0.20,0.06
18,Willow and Rain,The Hollow Pines,folk,melancholic,0.30,74,0.38,0.48,0.90,0.12,0.05
19,3 AM Blues,Ray Colton,blues,sad,0.35,70,0.32,0.44,0.87,0.25,0.06
20,Groove Machine,Funky Town Express,funk,happy,0.80,112,0.85,0.88,0.22,0.05,0.07
